"","meanImp","medianImp","minImp","maxImp","normHits","decision","Execution","Variable"
"IC50...37",10.0094766873885,10.1313010732486,0,12.1918389223531,0.989382239382239,"Confirmed",8,"IC50"
"NOTCH2...38",5.54731719138193,5.62341799216973,0,7.52692561556737,0.924227799227799,"Confirmed",8,"NOTCH2"
"ARHGEF10...39",5.60243063811876,5.68171323477416,-0.575348860131,7.7472914154785,0.921814671814672,"Confirmed",8,"ARHGEF10"
"LogIC50...40",8.92861275904242,9.03459197069678,0,11.3367919844748,0.986476043276661,"Confirmed",9,"LogIC50"
"IC50...41",8.96882176797366,9.07174838530027,0,10.9470615060772,0.986862442040185,"Confirmed",9,"IC50"
"MUC6...42",2.63380993946334,2.71027868995827,-0.366798461441193,4.85507721542673,0.558732612055641,"Confirmed",9,"MUC6"
"NOTCH2...43",5.30670017812619,5.38948246994307,0,7.2487174963173,0.911514683153014,"Confirmed",9,"NOTCH2"
"ARHGEF10...44",5.39534346603463,5.47992448206892,-0.12312095566967,7.27835787430016,0.923106646058733,"Confirmed",9,"ARHGEF10"
"CARS...45",2.64115071867353,2.71188259422394,-0.362834937340367,4.66407762122911,0.554482225656878,"Confirmed",9,"CARS"
"CLTCL1",2.57683369420842,2.67384955841796,-0.866948094764111,4.83323302485074,0.537480680061824,"Confirmed",9,"CLTCL1"
"LogIC50...47",9.12369596262753,9.30338777455162,0,11.4198499044243,0.980453479280688,"Confirmed",10,"LogIC50"
"IC50...48",9.23661396622566,9.43190762235494,0,11.6793438598195,0.980453479280688,"Confirmed",10,"IC50"
"NOTCH2...49",5.3414978784009,5.46340540452593,0,7.15624476241587,0.901485535574668,"Confirmed",10,"NOTCH2"
"ARHGEF10...50",5.37612534851698,5.50451898439714,0,7.51329777714407,0.913995308835027,"Confirmed",10,"ARHGEF10"
"CARS...51",2.74861001597753,2.8299520592289,-1.00100150250438,4.65902875829817,0.62470680218921,"Confirmed",10,"CARS"
