"","gene_symbols","IST-MES1","MPP-89","MSTO-211H","NCI-H2052","NCI-H226","NCI-H2369","NCI-H2373","NCI-H2452","NCI-H2461","NCI-H2591","NCI-H2595","NCI-H2722","NCI-H2731","NCI-H2795","NCI-H28","NCI-H2803","NCI-H2804","NCI-H2810","NCI-H2818","NCI-H2869","NCI-H290"
"13022","MTUS2-AS2","2.0","2.0","3.0","3.0","1.0","2.0","1.0","4.0","4.0","1.0","3.0","2.0","1.0","2.0","4.0","2.0","3.0","2.0","2.0","2.0","2.0"
"13023","MTX1","4.0","3.0","3.0","3.0","2.0","4.0","2.0","3.0","6.0","2.0","3.0","4.0","2.0","2.0","5.0","2.0","5.0","3.0","4.0","3.0","3.0"
"13024","MTX1P1","4.0","3.0","3.0","3.0","2.0","4.0","2.0","3.0","6.0","2.0","3.0","4.0","2.0","2.0","5.0","2.0","5.0","3.0","4.0","3.0","3.0"
"13025","MTX2","4.0","2.0","4.0","4.0","2.0","3.0","2.0","3.0","5.0","2.0","3.0","4.0","3.0","2.0","5.0","2.0","3.0","3.0","4.0","2.0","2.0"
"13026","MTX3","3.0","2.0","4.0","4.0","2.0","4.0","2.0","4.0","4.0","2.0","2.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","4.0"
"13027","MUC1","4.0","3.0","3.0","3.0","2.0","4.0","2.0","3.0","6.0","2.0","3.0","4.0","2.0","2.0","5.0","2.0","5.0","3.0","4.0","3.0","3.0"
"13028","MUC2","3.0","2.0","3.0","4.0","2.0","2.0","2.0","4.0","4.0","2.0","3.0","4.0","2.0","2.0","3.0","2.0","4.0","2.0","4.0","1.0","3.0"
"13029","MUC3A","4.0","2.0","4.0","2.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","4.0","4.0","2.0","4.0","1.0","4.0","3.0","4.0","2.0","3.0"
"13030","MUC4","4.0","2.0","4.0","3.0","2.0","3.0","2.0","4.0","5.0","1.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","4.0","1.0","3.0"
"13031","MUC5AC","3.0","2.0","3.0","4.0","2.0","2.0","2.0","4.0","4.0","2.0","3.0","4.0","2.0","2.0","3.0","2.0","4.0","2.0","4.0","1.0","3.0"
"13032","MUC5B","3.0","2.0","3.0","4.0","2.0","2.0","2.0","4.0","4.0","2.0","3.0","4.0","2.0","2.0","3.0","2.0","4.0","2.0","4.0","1.0","3.0"
"13033","MUC6","3.0","2.0","3.0","4.0","2.0","2.0","2.0","4.0","4.0","2.0","3.0","4.0","2.0","2.0","3.0","2.0","4.0","2.0","4.0","1.0","3.0"
"13034","MUC7","3.0","2.0","4.0","4.0","2.0","4.0","1.0","2.0","3.0","2.0","3.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","3.0"
"13035","MUC12","4.0","2.0","4.0","2.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","4.0","4.0","2.0","4.0","1.0","4.0","3.0","4.0","2.0","3.0"
"13036","MUC13","4.0","2.0","4.0","4.0","2.0","3.0","2.0","4.0","5.0","1.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","2.0","4.0","1.0","3.0"
"13037","MUC15","3.0","2.0","3.0","5.0","2.0","4.0","2.0","4.0","4.0","2.0","2.0","4.0","2.0","2.0","3.0","2.0","3.0","4.0","3.0","1.0","3.0"
"13038","MUC16","4.0","2.0","3.0","4.0","2.0","4.0","2.0","4.0","4.0","1.0","3.0","4.0","3.0","2.0","4.0","2.0","2.0","3.0","4.0","2.0","3.0"
"13039","MUC17","4.0","2.0","4.0","2.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","4.0","4.0","2.0","4.0","1.0","4.0","3.0","4.0","2.0","3.0"
"13040","MUC19","3.0","2.0","4.0","4.0","3.0","4.0","2.0","4.0","6.0","2.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","4.0"
"13041","MUC20","4.0","2.0","4.0","3.0","2.0","3.0","2.0","4.0","5.0","1.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","4.0","1.0","3.0"
"13042","MUC21","4.0","3.0","3.0","3.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","4.0","4.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","4.0"
"13043","MUCL1","3.0","2.0","4.0","4.0","3.0","4.0","2.0","4.0","6.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","4.0"
"13044","MUCL3","4.0","3.0","3.0","3.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","4.0","4.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","4.0"
"13045","MUL1","2.0","2.0","3.0","3.0","2.0","4.0","1.0","4.0","4.0","1.0","3.0","2.0","2.0","1.0","2.0","2.0","3.0","3.0","4.0","1.0","2.0"
"13046","MUM1","4.0","2.0","3.0","3.0","2.0","2.0","2.0","4.0","4.0","1.0","2.0","4.0","3.0","1.0","3.0","2.0","2.0","3.0","4.0","2.0","3.0"
"13047","MUM1L1","4.0","1.0","2.0","2.0","1.0","2.0","1.0","2.0","2.0","1.0","2.0","2.0","1.0","1.0","2.0","1.0","2.0","2.0","2.0","1.0","2.0"
"13048","MUS81","3.0","2.0","3.0","5.0","2.0","4.0","2.0","4.0","4.0","2.0","3.0","4.0","2.0","2.0","3.0","2.0","3.0","4.0","4.0","2.0","3.0"
"13049","MUSK","3.0","3.0","4.0","4.0","2.0","4.0","2.0","4.0","5.0","2.0","3.0","4.0","3.0","2.0","5.0","1.0","4.0","4.0","4.0","2.0","4.0"
"13050","MUSTN1","2.0","3.0","3.0","4.0","1.0","2.0","2.0","2.0","3.0","2.0","1.0","2.0","1.0","1.0","5.0","2.0","2.0","3.0","4.0","1.0","2.0"
"13051","MUT","4.0","3.0","3.0","3.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","4.0","4.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","3.0"
"13052","MUTYH","3.0","2.0","3.0","3.0","2.0","4.0","2.0","4.0","4.0","2.0","4.0","4.0","2.0","2.0","4.0","2.0","3.0","3.0","4.0","1.0","4.0"
"13053","MVB12A","4.0","2.0","3.0","4.0","2.0","4.0","2.0","4.0","4.0","1.0","3.0","4.0","3.0","2.0","4.0","2.0","3.0","3.0","4.0","2.0","3.0"
"13054","MVB12B","3.0","3.0","4.0","4.0","2.0","4.0","2.0","4.0","6.0","2.0","3.0","4.0","3.0","2.0","5.0","1.0","4.0","4.0","4.0","2.0","5.0"
"13055","MVD","4.0","2.0","2.0","4.0","2.0","3.0","2.0","4.0","3.0","2.0","2.0","2.0","2.0","2.0","3.0","2.0","4.0","3.0","4.0","1.0","2.0"
"13056","MVK","3.0","2.0","4.0","4.0","2.0","6.0","2.0","4.0","7.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","4.0"
"13057","MVP","3.0","2.0","3.0","4.0","2.0","3.0","2.0","3.0","5.0","1.0","4.0","4.0","2.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","3.0"
"13058","MX1","3.0","2.0","3.0","4.0","2.0","3.0","2.0","4.0","3.0","2.0","4.0","4.0","2.0","2.0","4.0","2.0","2.0","2.0","4.0","2.0","3.0"
"13059","MX2","3.0","2.0","3.0","4.0","2.0","3.0","2.0","4.0","3.0","2.0","4.0","4.0","2.0","2.0","4.0","2.0","2.0","2.0","4.0","2.0","3.0"
"13060","MXD1","4.0","3.0","4.0","6.0","2.0","3.0","2.0","4.0","5.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","2.0","3.0","2.0","4.0"
"13061","MXD3","4.0","2.0","4.0","4.0","2.0","4.0","1.0","4.0","6.0","2.0","4.0","4.0","3.0","2.0","5.0","2.0","4.0","4.0","4.0","2.0","3.0"
"13062","MXD4","3.0","2.0","4.0","3.0","2.0","3.0","1.0","4.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","2.0","2.0","2.0","1.0","3.0"
"13063","MXI1","3.0","2.0","2.0","4.0","2.0","4.0","2.0","4.0","4.0","2.0","2.0","2.0","2.0","2.0","4.0","2.0","2.0","3.0","4.0","2.0","3.0"
"13064","MXRA5","3.0","2.0","2.0","5.0","1.0","3.0","1.0","2.0","2.0","1.0","2.0","3.0","1.0","1.0","2.0","1.0","2.0","1.0","2.0","1.0","2.0"
"13065","MXRA5Y","0.0","3.0","4.0","0.0","1.0","4.0","0.0","3.0","4.0","2.0","1.0","0.0","0.0","3.0","2.0","0.0","4.0","5.0","5.0","0.0","1.0"
"13066","MXRA7","4.0","2.0","4.0","5.0","2.0","4.0","2.0","3.0","6.0","2.0","3.0","4.0","3.0","3.0","5.0","2.0","4.0","3.0","4.0","2.0","4.0"
"13067","MXRA8","2.0","2.0","3.0","3.0","2.0","4.0","1.0","4.0","4.0","1.0","3.0","2.0","2.0","1.0","2.0","2.0","3.0","3.0","4.0","1.0","2.0"
"13068","MYADM","4.0","3.0","4.0","5.0","3.0","4.0","2.0","4.0","4.0","2.0","3.0","4.0","2.0","2.0","4.0","2.0","3.0","3.0","4.0","2.0","3.0"
"13069","MYADML","4.0","3.0","4.0","6.0","2.0","3.0","2.0","4.0","5.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","3.0","3.0","3.0","2.0","4.0"
"13070","MYADML2","4.0","2.0","4.0","4.0","2.0","4.0","2.0","3.0","6.0","2.0","3.0","4.0","3.0","3.0","5.0","2.0","4.0","3.0","4.0","2.0","4.0"
"13071","MYB","3.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","5.0","1.0","4.0","4.0","4.0","1.0","4.0","2.0","2.0","4.0","2.0","2.0","2.0"
"13072","MYB-AS1","3.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","5.0","1.0","4.0","4.0","4.0","1.0","4.0","2.0","2.0","4.0","2.0","2.0","2.0"
"13073","MYBBP1A","3.0","2.0","4.0","3.0","2.0","2.0","2.0","5.0","4.0","1.0","3.0","4.0","2.0","2.0","3.0","2.0","4.0","3.0","3.0","2.0","4.0"
"13074","MYBL1","4.0","3.0","3.0","5.0","2.0","4.0","2.0","2.0","6.0","2.0","2.0","4.0","3.0","2.0","3.0","1.0","4.0","4.0","3.0","1.0","4.0"
"13075","MYBL2","4.0","4.0","3.0","6.0","2.0","4.0","2.0","4.0","6.0","2.0","4.0","4.0","4.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","4.0"
"13076","MYBPC1","3.0","2.0","4.0","4.0","2.0","6.0","2.0","4.0","7.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","4.0"
"13077","MYBPC2","4.0","3.0","4.0","4.0","2.0","4.0","2.0","4.0","4.0","2.0","3.0","4.0","2.0","2.0","4.0","2.0","3.0","3.0","4.0","1.0","3.0"
"13078","MYBPC3","3.0","2.0","3.0","5.0","2.0","4.0","2.0","4.0","4.0","2.0","2.0","4.0","2.0","2.0","3.0","2.0","3.0","4.0","4.0","1.0","3.0"
"13079","MYBPH","4.0","3.0","3.0","3.0","2.0","4.0","2.0","3.0","6.0","2.0","3.0","4.0","2.0","2.0","5.0","2.0","5.0","3.0","4.0","3.0","4.0"
"13080","MYBPHL","3.0","4.0","4.0","3.0","2.0","2.0","3.0","2.0","4.0","1.0","3.0","5.0","2.0","2.0","4.0","1.0","3.0","3.0","4.0","1.0","3.0"
"13081","MYC","6.0","3.0","14.0","7.0","2.0","4.0","2.0","4.0","8.0","2.0","4.0","4.0","3.0","3.0","3.0","1.0","6.0","4.0","3.0","2.0","4.0"
"13082","MYCBP","3.0","2.0","3.0","3.0","2.0","4.0","2.0","4.0","3.0","2.0","4.0","4.0","2.0","2.0","4.0","2.0","3.0","3.0","4.0","1.0","4.0"
"13083","MYCBP2","2.0","2.0","3.0","3.0","2.0","2.0","3.0","2.0","4.0","2.0","3.0","2.0","2.0","2.0","4.0","2.0","2.0","2.0","2.0","2.0","3.0"
"13084","MYCBPAP","4.0","2.0","4.0","4.0","2.0","4.0","2.0","5.0","6.0","2.0","4.0","4.0","3.0","3.0","5.0","2.0","4.0","4.0","4.0","2.0","4.0"
"13085","MYCL","3.0","2.0","3.0","3.0","2.0","4.0","2.0","4.0","3.0","2.0","4.0","4.0","2.0","2.0","4.0","2.0","3.0","3.0","4.0","1.0","4.0"
"13086","MYCLP1","4.0","1.0","2.0","2.0","1.0","2.0","1.0","2.0","2.0","1.0","2.0","2.0","1.0","1.0","2.0","1.0","2.0","2.0","2.0","1.0","2.0"
"13087","MYCN","2.0","2.0","4.0","6.0","2.0","3.0","2.0","4.0","5.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","3.0","3.0","4.0","2.0","4.0"
"13088","MYCNOS","2.0","2.0","4.0","6.0","2.0","3.0","2.0","4.0","5.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","3.0","3.0","4.0","2.0","4.0"
"13089","MYCT1","3.0","3.0","2.0","3.0","2.0","4.0","2.0","4.0","5.0","1.0","4.0","4.0","4.0","1.0","4.0","2.0","2.0","4.0","2.0","2.0","2.0"
"13090","MYD88","4.0","3.0","3.0","4.0","2.0","3.0","1.0","2.0","3.0","2.0","2.0","2.0","3.0","2.0","5.0","2.0","2.0","4.0","4.0","1.0","2.0"
"13091","MYDGF","4.0","2.0","3.0","4.0","2.0","4.0","2.0","4.0","4.0","1.0","2.0","4.0","3.0","1.0","4.0","2.0","2.0","3.0","4.0","2.0","3.0"
"13092","MYEF2","4.0","2.0","3.0","4.0","3.0","4.0","2.0","4.0","5.0","3.0","3.0","4.0","2.0","2.0","5.0","1.0","3.0","3.0","4.0","2.0","3.0"
"13093","MYEOV","3.0","2.0","3.0","5.0","2.0","4.0","2.0","4.0","4.0","2.0","3.0","4.0","2.0","2.0","3.0","2.0","3.0","4.0","4.0","2.0","3.0"
"13094","MYF5","3.0","2.0","4.0","4.0","3.0","4.0","2.0","4.0","6.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","4.0"
"13095","MYF6","3.0","2.0","4.0","4.0","3.0","4.0","2.0","4.0","6.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","4.0"
"13096","MYH1","4.0","2.0","4.0","3.0","2.0","2.0","2.0","3.0","4.0","1.0","4.0","4.0","2.0","2.0","3.0","2.0","2.0","3.0","4.0","2.0","5.0"
"13097","MYH2","4.0","2.0","4.0","3.0","2.0","2.0","2.0","3.0","4.0","1.0","4.0","4.0","2.0","2.0","3.0","2.0","2.0","3.0","4.0","2.0","5.0"
"13098","MYH3","4.0","2.0","4.0","3.0","2.0","2.0","2.0","3.0","4.0","1.0","4.0","4.0","2.0","2.0","3.0","2.0","2.0","3.0","4.0","2.0","5.0"
"13099","MYH4","4.0","2.0","4.0","3.0","2.0","2.0","2.0","3.0","4.0","1.0","4.0","4.0","2.0","2.0","3.0","2.0","2.0","3.0","4.0","2.0","5.0"
"13100","MYH6","4.0","3.0","4.0","3.0","2.0","2.0","2.0","2.0","3.0","1.0","4.0","4.0","2.0","2.0","2.0","1.0","2.0","3.0","2.0","1.0","2.0"
"13101","MYH7","4.0","3.0","4.0","3.0","2.0","2.0","2.0","2.0","3.0","1.0","4.0","4.0","2.0","2.0","2.0","1.0","2.0","3.0","2.0","1.0","2.0"
"13102","MYH7B","4.0","4.0","3.0","6.0","2.0","4.0","2.0","4.0","5.0","2.0","2.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","4.0"
"13103","MYH8","4.0","2.0","4.0","3.0","2.0","2.0","2.0","3.0","4.0","1.0","4.0","4.0","2.0","2.0","3.0","2.0","2.0","3.0","4.0","2.0","5.0"
"13104","MYH9","2.0","2.0","2.0","4.0","1.0","3.0","1.0","2.0","3.0","1.0","2.0","2.0","1.0","2.0","4.0","1.0","2.0","2.0","2.0","1.0","2.0"
"13105","MYH10","3.0","2.0","4.0","3.0","2.0","2.0","2.0","3.0","4.0","1.0","3.0","4.0","2.0","2.0","3.0","2.0","2.0","3.0","4.0","2.0","5.0"
"13106","MYH11","3.0","2.0","3.0","4.0","2.0","3.0","2.0","3.0","5.0","2.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","3.0"
"13107","MYH13","4.0","2.0","4.0","3.0","2.0","2.0","2.0","3.0","4.0","1.0","4.0","4.0","2.0","2.0","3.0","2.0","2.0","3.0","4.0","2.0","5.0"
"13108","MYH14","4.0","3.0","4.0","4.0","2.0","4.0","2.0","4.0","4.0","2.0","3.0","4.0","2.0","2.0","4.0","2.0","3.0","3.0","4.0","1.0","3.0"
"13109","MYH15","4.0","2.0","3.0","4.0","2.0","3.0","2.0","4.0","5.0","1.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","4.0","1.0","3.0"
"13110","MYH16","4.0","2.0","4.0","2.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","4.0","4.0","2.0","4.0","1.0","4.0","3.0","4.0","2.0","3.0"
"13111","MYL1","4.0","1.0","2.0","4.0","1.0","3.0","2.0","2.0","5.0","2.0","3.0","4.0","3.0","2.0","5.0","2.0","3.0","3.0","4.0","2.0","3.0"
"13112","MYL2","3.0","2.0","4.0","4.0","2.0","6.0","2.0","4.0","7.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","4.0"
"13113","MYL3","2.0","3.0","3.0","3.0","2.0","2.0","2.0","2.0","3.0","2.0","2.0","2.0","1.0","2.0","5.0","2.0","2.0","3.0","4.0","1.0","2.0"
"13114","MYL4","4.0","2.0","4.0","4.0","2.0","4.0","2.0","4.0","6.0","2.0","4.0","4.0","3.0","3.0","5.0","2.0","4.0","4.0","4.0","2.0","4.0"
"13115","MYL5","3.0","2.0","4.0","3.0","2.0","3.0","1.0","4.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","2.0","2.0","2.0","1.0","3.0"
"13116","MYL6","3.0","2.0","4.0","4.0","3.0","4.0","2.0","4.0","6.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","4.0"
"13117","MYL6B","3.0","2.0","4.0","4.0","3.0","4.0","2.0","4.0","6.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","4.0"
"13118","MYL6P1","3.0","2.0","3.0","4.0","2.0","3.0","2.0","4.0","3.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","2.0","2.0","4.0","2.0","3.0"
"13119","MYL6P2","3.0","2.0","3.0","4.0","2.0","3.0","2.0","4.0","3.0","2.0","4.0","4.0","2.0","2.0","4.0","2.0","2.0","2.0","4.0","2.0","3.0"
"13120","MYL6P3","3.0","2.0","3.0","4.0","2.0","4.0","2.0","4.0","4.0","2.0","2.0","5.0","2.0","2.0","4.0","2.0","3.0","3.0","4.0","2.0","3.0"
"13121","MYL6P4","4.0","2.0","4.0","3.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","5.0","3.0","1.0","4.0","2.0","2.0","3.0","4.0","2.0","3.0"
"13122","MYL7","4.0","2.0","4.0","3.0","3.0","6.0","2.0","4.0","9.0","2.0","4.0","4.0","4.0","2.0","4.0","2.0","4.0","4.0","4.0","3.0","4.0"
"13123","MYL8P","4.0","3.0","3.0","3.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","4.0","4.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","3.0"
"13124","MYL9","4.0","4.0","3.0","6.0","2.0","4.0","2.0","4.0","6.0","2.0","2.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","4.0"
"13125","MYL10","4.0","2.0","4.0","2.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","4.0","4.0","2.0","4.0","1.0","4.0","3.0","4.0","2.0","3.0"
"13126","MYL12A","2.0","2.0","4.0","3.0","2.0","5.0","2.0","4.0","5.0","2.0","3.0","4.0","3.0","2.0","2.0","2.0","2.0","1.0","2.0","1.0","3.0"
"13127","MYL12B","2.0","2.0","4.0","3.0","2.0","5.0","2.0","4.0","5.0","2.0","3.0","4.0","3.0","2.0","2.0","2.0","2.0","1.0","2.0","1.0","3.0"
"13128","MYLIP","4.0","3.0","3.0","3.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","4.0","4.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","3.0"
"13129","MYLK","4.0","2.0","4.0","4.0","2.0","3.0","2.0","4.0","5.0","1.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","2.0","4.0","1.0","3.0"
"13130","MYLK2","4.0","4.0","5.0","6.0","2.0","4.0","2.0","4.0","6.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","4.0"
"13131","MYLK3","3.0","2.0","6.0","4.0","2.0","3.0","2.0","4.0","5.0","2.0","4.0","2.0","2.0","2.0","3.0","2.0","4.0","3.0","4.0","1.0","4.0"
"13132","MYLK4","5.0","3.0","3.0","3.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","4.0","4.0","2.0","2.0","2.0","4.0","4.0","4.0","2.0","3.0"
"13133","MYLKP1","4.0","3.0","3.0","4.0","2.0","2.0","2.0","6.0","5.0","2.0","2.0","3.0","3.0","2.0","7.0","2.0","3.0","4.0","4.0","1.0","3.0"
"13134","MYLPF","3.0","2.0","3.0","4.0","2.0","3.0","2.0","4.0","5.0","1.0","4.0","4.0","2.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","3.0"
"13135","MYMK","3.0","3.0","4.0","4.0","2.0","4.0","2.0","4.0","6.0","2.0","3.0","4.0","3.0","2.0","5.0","1.0","4.0","3.0","4.0","2.0","4.0"
"13136","MYNN","4.0","2.0","4.0","3.0","2.0","3.0","2.0","4.0","5.0","1.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","4.0","1.0","3.0"
"13137","MYO1A","3.0","2.0","4.0","4.0","3.0","4.0","2.0","4.0","6.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","4.0"
"13138","MYO1B","4.0","2.0","4.0","4.0","2.0","3.0","2.0","3.0","5.0","2.0","3.0","4.0","3.0","2.0","5.0","2.0","3.0","3.0","4.0","2.0","2.0"
"13139","MYO1C","3.0","2.0","4.0","3.0","2.0","2.0","2.0","5.0","4.0","1.0","3.0","4.0","2.0","2.0","3.0","2.0","4.0","3.0","3.0","2.0","4.0"
"13140","MYO1D","4.0","2.0","4.0","4.0","2.0","2.0","2.0","4.0","4.0","2.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","3.0"
"13141","MYO1E","3.0","2.0","3.0","3.0","3.0","4.0","2.0","4.0","5.0","2.0","3.0","4.0","2.0","2.0","5.0","2.0","3.0","2.0","4.0","2.0","3.0"
"13142","MYO1F","4.0","2.0","3.0","4.0","2.0","4.0","2.0","4.0","4.0","1.0","3.0","4.0","3.0","2.0","4.0","2.0","2.0","3.0","4.0","2.0","3.0"
"13143","MYO1G","4.0","2.0","4.0","3.0","3.0","6.0","2.0","4.0","9.0","2.0","4.0","4.0","4.0","2.0","4.0","2.0","4.0","4.0","4.0","3.0","4.0"
"13144","MYO1H","3.0","2.0","4.0","4.0","2.0","6.0","2.0","4.0","7.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","4.0"
"13145","MYO3A","3.0","2.0","3.0","3.0","2.0","4.0","2.0","6.0","5.0","2.0","1.0","4.0","1.0","2.0","4.0","2.0","3.0","3.0","4.0","2.0","4.0"
"13146","MYO3B","4.0","2.0","4.0","4.0","2.0","3.0","2.0","3.0","5.0","2.0","3.0","4.0","3.0","2.0","5.0","2.0","3.0","3.0","4.0","2.0","2.0"
"13147","MYO5A","3.0","2.0","3.0","3.0","3.0","4.0","2.0","4.0","5.0","3.0","3.0","4.0","2.0","2.0","5.0","2.0","3.0","3.0","4.0","2.0","3.0"
"13148","MYO5B","2.0","2.0","4.0","4.0","2.0","3.0","1.0","2.0","5.0","2.0","3.0","4.0","1.0","2.0","2.0","1.0","2.0","2.0","2.0","1.0","3.0"
"13149","MYO5BP1","2.0","2.0","4.0","4.0","2.0","4.0","2.0","2.0","5.0","2.0","3.0","4.0","3.0","2.0","4.0","1.0","4.0","4.0","4.0","2.0","3.0"
"13150","MYO5BP2","2.0","2.0","4.0","4.0","2.0","4.0","2.0","2.0","5.0","2.0","3.0","4.0","3.0","2.0","4.0","1.0","4.0","4.0","4.0","2.0","3.0"
"13151","MYO5BP3","3.0","2.0","4.0","4.0","2.0","4.0","2.0","2.0","5.0","2.0","3.0","4.0","3.0","2.0","4.0","1.0","4.0","4.0","4.0","2.0","3.0"
"13152","MYO5C","3.0","2.0","3.0","3.0","3.0","4.0","2.0","4.0","5.0","3.0","3.0","4.0","2.0","2.0","5.0","2.0","3.0","3.0","4.0","2.0","3.0"
"13153","MYO6","4.0","3.0","3.0","3.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","4.0","4.0","1.0","4.0","2.0","2.0","4.0","2.0","2.0","2.0"
"13154","MYO7A","3.0","1.0","3.0","5.0","2.0","4.0","2.0","4.0","4.0","2.0","3.0","4.0","2.0","2.0","3.0","2.0","3.0","4.0","4.0","2.0","3.0"
"13155","MYO7B","4.0","2.0","4.0","4.0","2.0","3.0","2.0","3.0","5.0","2.0","3.0","4.0","3.0","2.0","5.0","2.0","3.0","3.0","4.0","2.0","3.0"
"13156","MYO9A","3.0","2.0","3.0","3.0","3.0","4.0","2.0","4.0","5.0","4.0","3.0","4.0","2.0","2.0","5.0","1.0","3.0","3.0","4.0","2.0","3.0"
"13157","MYO9B","4.0","2.0","3.0","3.0","2.0","4.0","2.0","4.0","4.0","1.0","2.0","4.0","3.0","2.0","4.0","2.0","3.0","3.0","4.0","2.0","3.0"
"13158","MYO10","4.0","3.0","4.0","6.0","2.0","6.0","2.0","4.0","8.0","2.0","4.0","4.0","3.0","2.0","4.0","2.0","6.0","4.0","2.0","2.0","4.0"
"13159","MYO15A","4.0","2.0","4.0","6.0","2.0","2.0","2.0","3.0","4.0","1.0","3.0","4.0","2.0","2.0","3.0","2.0","2.0","4.0","4.0","2.0","4.0"
"13160","MYO15B","4.0","2.0","4.0","5.0","2.0","4.0","2.0","3.0","6.0","2.0","3.0","4.0","3.0","3.0","5.0","2.0","4.0","3.0","4.0","2.0","4.0"
"13161","MYO16","4.0","4.0","3.0","6.0","2.0","2.0","2.0","2.0","5.0","2.0","3.0","2.0","2.0","2.0","4.0","2.0","4.0","2.0","2.0","2.0","3.0"
"13162","MYO16-AS1","4.0","4.0","3.0","6.0","2.0","2.0","2.0","2.0","5.0","2.0","3.0","2.0","2.0","2.0","4.0","2.0","4.0","2.0","2.0","2.0","3.0"
"13163","MYO16-AS2","4.0","4.0","3.0","6.0","2.0","2.0","2.0","2.0","5.0","2.0","3.0","2.0","2.0","2.0","4.0","2.0","4.0","2.0","2.0","2.0","3.0"
"13164","MYO18A","4.0","2.0","4.0","4.0","2.0","2.0","2.0","3.0","4.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","3.0"
"13165","MYO18B","2.0","2.0","3.0","4.0","1.0","3.0","1.0","2.0","3.0","1.0","2.0","2.0","1.0","2.0","4.0","1.0","2.0","2.0","2.0","1.0","2.0"
"13166","MYO19","4.0","2.0","4.0","4.0","2.0","4.0","2.0","3.0","4.0","2.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","3.0"
